書籍タイトル,要約
わが投資術　市場は誰に微笑むか,平たく言えば、「自分の考えはみんなと同じ」なら投資のアイデアにはなりません。「自分の考えはみんなと違う」時に投資のアイデアになるのです。。株式市場で人気の圏外にある「割安小型株」は株式市場での参加者が少ない（というか投資家に無視されている銘柄が多い）ので、「何が株価に織り込まれているか」が比較的簡単にわかります。。アナリストは「10％増益が株価に織り込まれている」とか平気で言いますが、大型株については「株価に何が織り込まれているか」なんてそう簡単にわかるものではないですよ。これも我々が小型株投資を選好してきた理由の一つかもしれません。。「投資のアイデアを探す」ということは「株価に織り込まれてい...
アフターデジタル２ ＵＸと自由,データを持っていてもそのままではまったくお金にならないことを理解する必要があります。データをそのままお金に換えるという考え方ではなく、どのようにUXに還元し、ユーザーに価値を提供するか、という考え方でないと、日本はテクノロジーの恩恵を受けられず、国際的な競争力を失ってしまいます。。日常的にユーザーに価値を提供でき、高頻度かつ定常的にユーザーの状況を把握できる形式のビジネス。テンセントは、「お金の受け取り一つにもコミュニケーションが発生する」と考え、日本でよく行われる「財布を出すポーズ」をデジタル上でできるようにしたのです。「。そのサービスや商品に関わる接点はいつもそのコンセプトにまとめられてお...
アマゾンと物流大戦争 (ＮＨＫ出版新書),カクヤスは１店舗あたり１・２キロメートル半径商圏というロジスティクスを見つけ出しました。。カクヤスのビジネスをより深く理解するため、ここで物流用語を１つ覚えていただきたいと思います。「ストックポイント（ stock point）」です。英語でストックは在庫、ポイントは地点を指しますが、配送のために在庫を置いておく場所のことを意味し、多くの場合はピッキングから出荷までの基本的な物流機能を備えています。。ヤマト運輸、佐川急便、日本郵便の３強による寡占化が進み、上位３社の合計は 92・５％にも達します。。例えば、米国ではＵＰＳやフェデックスでしか実現していなかった日祝配送を、アマゾンがＵＳＰＳで実施...
アンビシャス　北海道にボールパークを創った男たち (文春e-book),「夢には日付を書かなければならない」 前沢はそう言った。二〇二三年春の開場──そのための約三年間の工期──そのための二〇一八年三月の建設地決定──いざ実現へ向けて走り出してみれば、未来に置かれたそれらのマイルストーンだけが確かなものだった。。本州以南にはいまだ武家社会の構図が残っていた。かつては城があり、城の周りに町があった。そこには役人と町人がいて、何より両者を繫ぐ名士のような人物がいた。官にも民にも分類できないその存在が城下町の運営を円滑にし、諸問題を未然に解決していた。だが、武家の歴史を持たない札幌に半官半民の名士は見当たらなかった。大通公園を挟んで北と南。官と民は明確に色分けされてい...
アート思考――ビジネスと芸術で人々の幸福を高める方法,アーティストとは、答えを示すのではなく、問いを発する人である」。現代アートは、「現在の人間像について多角的に考えて、未来に向けて、さらなる可能性を持つ新たな人間像を求め、人間の概念を拡大することに挑戦する試み」。は、人間社会の課題が広く、深くなっていく時代において、ビジネスの課題の立て方（ビジネスモデル） も広く、深いものでなければ、息の長いビジネスとして存続できないのではない。つまりデザイン思考は、顧客の抱える問題を解決に導くためのもので「自分がどうしたいか」ではなく、「顧客のベネフィットのためにはどうすればよいか」を考えるものです。。イノヴェイションはデザイン以外のところで生じる必要がある...
イシューからはじめよ――知的生産の「シンプルな本質」,イシューが見え、それに対する仮説を立てたら、次にそれを言葉に落とす。 「これがイシューかな？」「ここが見極めどころかな？」と思ったら、すぐにそれを言葉にして表現することが大切だ。 なぜか？それはイシューを言葉で表現することではじめて「自分がそのイシューをどのようにとらえているのか」「何と何についての分岐点をはっきりさせようとしているのか」ということが明確になるからだ。言葉で表現しないと、自分だけでなくチームのなかでも誤解が生まれ、それが結果として大きなズレやムダを生む。。本質的な選択肢である よいイシューはすべからく、それに答えが出るとそこから先の検討方向性に大きく影響を与えるものだ。...
インスタグラム：野望の果ての真実 (NewsPicksパブリッシング),フェイスブックでは、少ない労力で多くのユーザーに対応することをめざすべきだとされている。フェイスブックに頼れば頼るほどあきらめなければならないことが増えるが、インスタグラムが大きくなるには避けて通れない道だと言える。。か。そう考えた彼は、「シェア」や「投稿」などフェイスブックを連想する言葉は使うな、スナップチャットはもっとパーソナルなのだ、言葉は「送信」などのほうがいいと社員に発破をかけた。
エンジニアリング組織論への招待　～不確実性に向き合う思考と組織のリファクタリング,エンジニアリングという行為は、何かを「実現」することです。実現のために、不確実性の高い状態から、不確実性の低い状態に効率よく移していく過程に行うすべてのことです。。仕事での問題解決を行うために必要な論理的思考力は、コミュニケーションの失敗によって制限されてしまいます。どんなに自分が正論だと思っていることも、その人自身の世界の中で認識できる範囲の中での正論にすぎず、正解ではないということです。。どんなときに、自分は論理的でなくなる可能性があり、人が論理的でなくなる可能性があるのかを知った上で問題解決に臨む。それが論理的思考の盲点を知るという考え方です。。です。「思考のリファクタリング」とは、この...
エンタメビジネス全史　「IP先進国ニッポン」の誕生と構造,能が芸能としてそれらに見劣りしてしまうのは、現在の担い手である１０００人強の能楽師たちの集まりが「個人」を主体としたものであり、スポンサーとなる組織を持っていない点にもよる。能が為政者におもねった作品を作ったり宗教色を帯びさせたりといったことを行ってこなかったストイックさゆえに、お金や人を巻き込むことができなかったのではないか、とも思われる。。まさにそのハザマとなる１８６６年、 18 人で海外へ旅立った東北の寒村出身の高野広八一座が、日本の民間人初のパスポート取得者である。彼らは今でいうサーカスの一座だった。。興行とは「観客を集め、金をとって、見せるもの」ではなく、「見せるものへの期待値を作...
ガザとは何か～パレスチナを知るための緊急講義,ガザの平均年齢は十八歳。それだけ、若年人口が多いということです（ちなみに、日本の平均年齢は四十八歳です）。。同化して軍人にまでなっても、ユダヤ人であれば冤罪を着せられて終身刑になる。近代市民社会になろうが、ヨーロッパからユダヤ人差別はなくならない。同化すればユダヤ人差別はなくなると思っていたのに、同化は解決にならない。ドレフュス事件は、同化ユダヤ人に大きな衝撃を与えました。。十九世紀末のヨーロッパで、フランスのドレフュス事件を契機に、ヨーロッパ・キリスト教社会の歴史的宿痾とも言うべきユダヤ人差別・反ユダヤ主義からユダヤ人が解放されるには、ユダヤ人がマジョリティを占めるユダヤ国家を創るしかないと...
キーエンス解剖　最強企業のメカニズム,キーエンスの社員１人当たり売上高は８７１０万円（ 22 年３月期）。代理店によるサポートがない分、不利になりそうなものだが、オムロンの工場向け制御機器事業の４４８２万円（同）に比べて約２倍という効率の高さだ。。まず、キーエンスのロープレには「台本」がある。こういう風にしゃべったらいい、と示したシナリオだ。つくるのは販売促進部門。それを基に、営業担当者はまず「型」を学ぶ。そのうえで、相手の属性や人によって内容を変える応用編も覚えていくという。。キーエンスは、何らかの優劣を判断する機会としてロープレを使うことはない。ロープレは顧客の希望を聞き取り、デモをして製品を知ってもらい、購入の 稟議 に向か...
グループ経営入門【第4版】: グローバルな成長のための本社の仕事,本来、経営における難しさは、「やりたいこと」（＝事業）を行うにあたって、「先立つもの」（＝財務）をどう工面し、「取り組む人」（＝組織や人材）にどう頑張ってもらうか、というところにあります。。本来、経営における難しさは、「やりたいこと」（＝事業）を行うにあたって、「先立つもの」（＝財務）をどう工面し、「取り組む人」（＝組織や人材）にどう頑張ってもらうか、というところにあります。。オペレーションをいくら頑張っても、それだけではマネジメントをやっていることにはなりません。マネジメントを担うとなれば、企業として目指すべきゴールを明確に設定し、達成に向けて必要な資源を確保し、的確に分配し、成果を上げて、...
コンセプトのつくりかた,ここまでのコンセプトの定義をまとめると、次のようになります。 コンセプトは世界を良くすると同時に、あなたがしあわせに生きられる方法。 一見すると抽象的かもしれませんが、コンセプトの良し悪しを判別する条件としては、非常に具体的で有用なものです。「あなた」と「世界」、いずれかでも欠けてしまえば誰かを満足させられる「良いもの」はできません。そのためには「コンセプトワークするあなた」と「生きるあなた」が手を取り合わなければいけません。。は、最終的に生み出すコンセプトが次の３つを満たしていることです。 １．覚えやすい 簡単に覚えられ、いつでもどこでも思い出せること。 ２．伝わりやすい 人々の間で流通...
コンテクスト・マネジメント～個を活かし、経営の質を高める～,経営とは「人を通じて事をなす」ことであり、経営者とは、どうすれば組織を通じて「よりよいこと」を持続的になせるのかを考え実現する存在です。それが、僕が考える経営の定義であり、経営者リーダーの役割と責務についての解釈です。。だとしたら、経営者リーダーの役割と責務とはどんなことでしょうか。それは、経営の質にこだわり、組織能力を向上させることだと言えるでしょう。具体的には、自身の裁量によって変えうる（変わりうる） 経営の変数を梃子（ levers for managerial intervention） としてとらえ、そこに介入することで組織能力を構築し、向上させることにほかなりません。。で、ポータ...
コンテナ物語　世界を変えたのは「箱」の発明だった　増補改訂版,その結果、じつに珍妙な現象だが、労使の立場は逆転する。組合は重労働をすこしでも楽にしようと「早く機械化を進めろ」と経営側に注文をつけるようになったの
コンピテンシー実用講座【基礎編】,コンピテンシーは、簡単に言えば、人の力（ちから）を客観的、論理的に評価するのに役立ちます。ですから、その用途は、 １） 他者の強み、弱みを見極める ２） 自分の強み、弱みを見極める と、いうことと、それによって可能になる様々な用途ということになります。
サイロ・エフェクト　高度専門化社会の罠 (文春文庫),人類が誕生してこのかた、分類というプロセスはわれわれとともにあった。人間と動物の大きな違いともいえる。それには当然の理由もある。われわれは日々複雑な環境に身を置いており、世界を扱いやすい 塊 に分類することである程度の秩序をつくらなければ、複雑性をきちんととらえ、対処することはできない。。一九世紀半ばを過ぎてまもなく人類学が誕生したとき、何にも増してそのあり方を決定づけた要素は二つある。ダーウィニズムと植民地主義だ（ 22）」。普段はまったく気づかないが、われわれはみな自らが創り出す物理的、社会的、 さらには 心理的な環境の産物なのだ。習慣はきわめて重要である。。人々が生活の中で絶え間なく行う...
サッカー店長の戦術入門～「ポジショナル」vs.「ストーミング」の未来～ (光文社新書),言葉で認知させ、視覚で認識させ、ルールによって動きの共通理解へと昇華させるのだ。
ザ・ラストマン　日立グループのＶ字回復を導いた「やり抜く力」 (角川新書),しかし、私はもともと「社長は自分からなりたいと思ってなるものではなく、その時代が求めた人物が 抜擢 されるもの」と考えていたので、グループ会社で粛々と自分の使命を果たそうと気持ちを切り替えていました。。改革をするにあたって、最初に私が手掛けたこと──それは、意思決定をする人数を絞るということでした。。経営方針や経営計画のような大きな決断はトップダウンで下し、現場レベルの提案はボトムアップで吸い上げるという二つの働きが循環しているのが、企業として理想的な姿だと思います。 現在でも、会社としての意思決定のうち、おそらく九〇％はボトムアップで決められています。残り一〇％の難しい意思決定、痛みを伴う...
シリコンバレー最重要思想家ナヴァル・ラヴィカント,無限のレバレッジが手に入るこの時代、純粋な知的好奇心がかつてないほどの莫大なリターンを生むようになっている［ 11］。だから今儲かっているものを追いかけるよりも、君の純粋な知的好奇心を追求したほうが、キャリアの基盤としてはずっといい［ 11］。。私は何かの仕事に対してではなく、純粋な判断に対して報酬を得たい。仕事をするためにロボットや資本、コンピュータは欲しいが、私自身は判断で稼ぎたい［１］。。た。「長期的なゲームでは、みんなでリッチになろうとする。短期的なゲームでは、みんなが自分だけリッチになろうとする」。私にとっては、自分の行動が身のまわりの世界に長期的におよぼす影響を理解していることが...
スカウト目線の現代サッカー事情～イングランドで見た「ダイヤの原石」の探し方～ (光文社新書),まずスカウトの数が多い。とにかく多い。クラブによって多少の差異はあるが、プレミアリーグのクラブであれば大体どこもアカデミーに 50 人近く、トップチームに 20 人ぐらいはスカウトがいる。マンチェスター・シティやチェルシーなどのビッグクラブはそれ以上の規模である。プレミアリーグの一つ下のカテゴリーであるチャンピオンシップも、財政規模が大きいクラブではプレミアリーグのクラブと同等のスタッフが雇われている。。例えばチェルシーでは、ある 19 歳のＣＢ（センターバック）を獲得する際に、 14 人以上のスカウトがそれぞれ最低３回以上視察し合計で 56 回、２年半にわたってその選手を追っていた。選手の...
スタートアップの知財戦略,2012年3 月、 Facebook が上場直前に Yahoo に特 許侵害訴訟を提起され、 その上場に大きな影響を与えたとされている。 なお、 この訴 訟は最終的には和解にて終了したが、 提訴直後、 Facebook は Yahoo に対してカウン ターの訴訟を提起するべく、 提訴直後に IBM から数百件の特許を購入し、 その特許 の一部を活用してカウンターで特許侵害訴訟を提起し17） （その後Microsoft からも 5億 5000万ドルでの特許の購入及びライセンスを受けている 18））、 和解19） まで持ち込んだという経 緯がある。 。ビジネスモデル特許とは、 法律上 の用語ではな...
ストーリーが世界を滅ぼす―物語があなたの脳を操作する,ある。しかしさまざまなタイプの研究者が行った研究に共通するのは、説得に関しては、 たいてい理性より感情に訴えるほうが勝つ ことだ ★ 21。言い換えれば、受け手に要点を 理解してもらう だけでは足りない場合が多い。良くも悪くも（悪いほうが多いのだが）、受け手に要点を 感じてもらう ためには、物語を使わなければならない。。要するに、語ることは私たちに意味を 与える だけだ。示すことは私たちに自力で意味を見出すように 強い、そうすると意味は私たちのものになる。優れたストーリーテラーはこんなやり方で心理的にカッコーの托卵に相当することを行う。私たちの心の中に産みつけた概念を、あたかも私たちのもののよ...
スポーツ･アイデンティティ　どのスポーツを選ぶかで人生は決まる,「この坂田塾の練習量に意味があるんじゃないかと思うようになったんです。坂田塾の練習は高校卒業までの九年間でおおよそ一万時間。つまり一万時間を費やすことでプロゴルファーレベルに到達している。韓国では、学校に行かずに三、四年で一万時間に到達。ＪＰＧＡ（日本プロゴルフ協会）の名簿を調べてみると、初めてゴルフクラブを握ってからプロテストに合格するまではだいたい一〇年。これは約一万時間に相当する」
スマートシティとキノコとブッダ　人間中心「ではない」デザインの思考法,禅とは、人間の心の底にある、無限の創造性に徹して、これに順応して動作することである。。一方、ＡＩ＝アーティフィシャルインテリジェンスを漢字に訳すと日本語では人工知能とされていますが、中国語ではこれを人工知慧と訳すこともあるようです。人工知能と人工知慧では日本人にとって漢字のニュアンスが少し違いますよね。。スマートシティを捉えるために、『社会は情報化の夢を見る』などの著作で知られる佐藤俊樹氏の言う「ハイパー」と「ポスト」が参考になると思います。日本はこれまで、ついに情報化社会が来ると 70 年代ぐらいから繰り返しずっと言ってきましたが、時代ごとに読み解いていくと大きく分けて２つの捉え方があるとい...
センスの哲学 (文春e-book),昔から量を積み重ねている人に対して、途中から物量作戦で勝とうとしても無理です。ですが、量を積み重ねるなかで得られる判断力のポイントを学び、そこから再出発して、量を積み重ねていくことはできる。民主的な教育というのはそういうことではないでしょうか。。いわば、人間とは「認知が余っている」動物で、余っているからいろいろ見てみたくなるけれど、自分を制限しないと落ち着かない、というジレンマを生きている。。・文化資本の形成とは、多様なものに触れるときの不安を緩和し、不安を面白さに変換する回路を作ることである。。生物が内的状態をある範囲内に保とうとすることをホメオスタシスと言います。。つまり、芸術において何...
センスメイキング――本当に重要なものを見極める力,「人」を理解するのは簡単ではない。文字どおり現実の世界に暮らす生身の人間を理解しようと思ったら、こうした文化的な知が必要だ。 オーブンで一時間じっくり調理した南フランスのカスレという伝統料理は、いったいどんな香りがするのか知っておくべきだし、朝、砂漠に吹き荒れる砂嵐で目を痛める人々がいることも知らないといけない。一人称の視点で語らない詩があることを知っておく必要があるし、攻撃を受けたら山に逃げることを常識としている人々が存在することも知らないといけない。。豊富な知識と経験を誇る名リーダーの多くは、制度や社会、組織が自分の身体の延長線上にあると考えている。身体が制度、社会、組織の一部であり、制...
ゾーンマネジメント,株価を劇的に変化させるのは、ある程度以上の規模の新規成長カテゴリーへの参入だ。そのようなカテゴリーへの参入規模が、企業の総収益の十パーセントを超え、将来的に十五パーセントから二十パーセントを超えることが期待されれば、投資家はこの新たな収益源からの潜在的リターンを新鮮な目で評価するようになる。。ここで、経営の常識に関する重要な秘密を教えよう。それは「地位を確立した既存企業はコアのビジネスモデルを変えられない」というものだ。自社全体に破壊的変化をもたらせばよいという提言はすべてたわごとだ。それは実現不可能である。。ホライゾン１： 翌会計年度の事業による投資回収。 ホライゾン２： 二年から三年で投資...
チャイナ・イノベーション,アリババのＥＣサービスから生まれた決済サービスのアリペイは、２０１７年にピーク時、毎秒 25・６万回の処理性能の記録を作った。。２０１０年から２０１５年にかけて中国人の可処分所得は倍増したが、逆に携帯電話の平均価格は２１５０元（３万６５５０円）から１８００元（３万６００円）に下落した。その結果、スマホは中小都市や農村部にも一気に普及した。
テクノロジーの世界経済史　ビル・ゲイツのパラドックス,産業革命の恩恵が平均的な人々のところにこぼれ落ちてくるまで半世紀待たなければならなかった。だから多くの市民の生活が突然暗転した結果として、機械に対する猛烈な敵意が涌き起こったのも驚くには当たるまい。。長期的には私たちはみな死んでいる。技術的な創造性の発揮が無制限に容認された結果、イギリスの労働者階級は三世代にわたって貧窮した。彼らは、大勢の人がゆたかになる日を生きて目にすることはなかった。そう考えればラッダイトは正しかったことになる。。要するに、あの偉大な経済学者ヨーゼフ・シュンペーターが述べたとおり、資本主義の成果とは「女王により多くの絹の靴下を供給したことではなく、その製造に必要な労働時間...
テンセント――知られざる中国デジタル革命トップランナーの全貌,その後の十数年間テンセントが技術開発で堅持している「小股の疾走、試行錯誤のイテレーション」という原則。インターネット経済が馬化騰の言う「サービスおよびユーザー駆動」の段階に入った後は、その地域の文化、消費および政策的特徴が企業競争上最優先で考えるべき指標であることがはっきりと示された。。２００６年６月、馬化騰は雑誌『中国企業家』の取材を受けた際、この点について説明している。「私はむやみにイノベーションはしない。マイクロソフト、グーグルがしていることは、すべて別の誰かがやったことだ。最も賢い方法は間違いなく、最善のケースを学んでからそれを追い越すことだ」。ＱＱペットのケースには、以下の典型的な...
トークの教室　「面白いトーク」はどのように生まれるのか (河出新書),キチンとした文章で書いてしまうと、喋る時どうしてもそれに寄っていき、原稿を読んでいるようなトークになってしまう。それが人間の心理です。 聞きたいのは本人の気持ちが入ったトークであって、用意された原稿を読む朗読ではないのです。。トークの展開上、先に説明をしておかないと伝わらない点は意識して描写し、他はそんなに意識せず普通に話せばいいのでしょう。。トークの導入として、聞いている方が「え？」とか「そうなの？」と思ってくれれば、それが「つかみ」になります。トークの内容と関係ないギャグとかボケとかダジャレとかは、むしろ逆効果。。そうではなく、自分では「私はごく普通の人間で、いつもおとなしく生活しようと...
ナナメの夕暮れ (文春文庫),人間は内ではなく外に向かって生きた方が良いということを全身で理解できた。教訓めいたことでもなくて、内（自意識）ではなく外に大事なものを作った方が人生はイージーだということだ。外の世界には仕事や趣味、そして人間がいる。内（自意識）を守るために、誰かが楽しんでいる姿や挑戦している姿を冷笑していたらあっという間に時間は過ぎる。だから、ぼくの 10 代と 20 代はそのほとんどが後悔で埋め尽くされている。。他人への否定的な視線は、時間差で必ず自分に返ってきて、人生の楽しみを奪う。。〝好きなことがある〟ということは、それだけで朝起きる理由になる。 〝好き〟という感情は〝肯定〟だ。 つまり、好きなことが...
ニューヨークのアートディレクターがいま、日本のビジネスリーダーに伝えたいこと,人が耳で聞いた内容を3日後に記憶している割合は10%。そして、同じ内容をイラストとして見せた場合が35%を記憶しているという実験結果が出ています。。ない「Visual Literacy ビジュアルリテラシー」という能力。これは、物ごと、概念や情報、考えや想いを、理解し咀嚼し、画像やイラストなどといった視覚的なかたちに変換して落とし込む能力のこと。。では、消費者は何で判断して購買を決めるのでしょうか? それは、その洋菓子 ブランドに関わる全ての要素が醸し出す雰囲気です。これをLook and Feel（ルックアンドフィール） と言います。
ネガティブ・ケイパビリティ　答えの出ない事態に耐える力 (朝日選書),ネガティブ・ケイパビリティ（negative capability負の能力もしくは陰性能力）とは、「どうにも答えの出ない、どうにも対処しようのない事態に耐える能力」をさします。 あるいは、「性急に証明や理由を求めずに、不確実さや不思議さ、懐疑の中にいることができる能力」を意味します。。ネガティブ・ケイパビリティという言葉をこの世で初めて口にしたジョン・キーツは、一七九五年にロンドンで生まれました。亡くなったのは、何とローマです。スペイン広場に向かってすぐ右側の建物のアパートで、一八二一年二月二十三日金曜日の午後四時半に息をひきとったのです。まだ二十六歳の誕生日を迎える前という若さでした。。...
ネットワーク・エフェクト 事業とプロダクトに欠かせない強力で重要なフレームワーク,そもそもなぜ新製品の立ち上げが難しくなったのか。ひとつは、人々のインターネット利用時間を奪い合うゼロサム時代に突入したからで、もうひとつはモバイルアプリ、ＳａａＳ（Software as a Service） の多くは参入障壁が低いからだ。。この論文が生物学で重要なのは、「アリー効果の 閾値」と呼ばれる、群れの安全が守られて個体が増えやすくなる転換点の存在が明らかになったからだ。アリー効果による個体数の変化を示す曲線は、生態学版のネットワーク効果だと言える（。互いに危険を知らせるミーアキャットがある程度いないと、天敵に捕食されるリスクは下がらない。個体数が減ると身を守りにくくなり、さらに個体数...
ハンニバルに学ぶ戦略思考,古代においては大量破壊兵器がなく、リーダーの人間力こそが戦略勝負の主体であった。それは「ビジネス戦略の人間力」に相通じ、歴史的にも普遍的と思える「人間力の本質」の向上に直結する。。「戦略力の 11 原則」とは、「目的」「創造」「主動」「集中」「奇襲」「機動」「柔軟」「統一」「簡明」「保全」「経済」の各原則である。 そのうち、主原則は、「目的」と「創造」だ。「目的」達成のため、その戦場の特質を把握し、残りの原則を活用して戦勝への方策を「創造」するということになる。。本当の決断とは、「もうこうするしかない」という状況に追い込まれる前の、まだ選択肢がある状況のなかで、最良の選択肢を選ぶことだ。。プル...
ハーバード・ビジネス・レビュー　リーダーシップ論文ベスト10 リーダーシップの教科書,マネジメントでは、立案した計画を達成できる能力を開発するために、組織づくりと人員配置を行う。具体的には、計画達成に必要な組織構造と一連の各業務を創設し、そこに適切な人材を配置し、彼ら彼女らに計画の内容を伝え、実行の責任を負わせて、実行状況をモニターする仕組みをつくるのだ。 かたや、目的は同じでも、リーダーシップは、組織メンバーの心を一つにすることである。つまり、メンバーたちがビジョンを理解し、その実現に向けて努力を傾け、全員が一丸となれるように、新たな方向性を伝えるのだ。。変革を起こすことがリーダーシップの役割である以上、変革の方向性を決めるのは、リーダーシップの基本といえる。方向性の設定と計...
バリュエーションの教科書―企業価値・Ｍ＆Ａの本質と実務,以上から、「PBR＝PER×ROE」の公式は、企業の存在価値の源泉であるのれん価値の創出力を足元の資本効率性と将来の成長期待の掛け算で数値化して表現できることを示していることがわかる。。企業価値＝企業が将来にわたって生み出すキャッシュフローの現在価値。会計上のバランスシートに載っている資産は、通常買ってきたときの取得原価で記帳される。つまり、「カネさえあれば誰でも買える」たぐいの資産だ。事業活動とは、これらのカネで買える資産に人材、信用、ノウハウ、ブランドなどの「ソフトパワー」を注ぎ込んで、単なる資産の寄せ集め以上の価値ある存在にする活動にほかならない。。本書では、企業価値はあくまで将来のキャ...
ヒットの設計図　ポケモンGOからトランプ現象まで (早川書房),ブラームスの時代に文化がどれほどゆっくりしたペースで伝わっていたかを理解するには、ベートーベンの第九交響曲が、大西洋を渡ってどのくらいのんびりと伝わって行ったかを考えればいい（ ３）。第九は１８２４年に、ウィーンのケルントナートーア劇場で初演された。この時すでにベートーベンは耳が不自由になっていて、嵐のような大拍手も聞こえなかったという。だが、それほどの成功を収めた曲が、アメリカのニューヨーク市で上演されたのは１８４６年で、すでに 22 年が経過していた。。消費者のほとんどは、「ネオフィリア（好奇心が強く、新しいものを発見したいと思う）」であると同時に、重度の「ネオフォビア（あまりに新しいもの...
ヒトラーとナチ・ドイツ (講談社現代新書),ヒトラーが露骨な反ユダヤ主義者であり、レイシストであり、民主主義を蔑視する扇動家であったことはすでに広く知られていた。そんな人物が首相になれば、ドイツの信用は台無しになるだろうと思う者も少なくなかった。しかも、ナチ党は国会で第一党の地位にあったが、ヒトラーを首相に推す国会議員は四割もおらず、ヒンデンブルク大統領がヒトラーを首相に任命しなければならない必然性はどこにもなかったのだ。。ヒトラーが首相に任命される直前の国会選挙（一九三二年一一月） でナチ党が手にした得票率は三三・一パーセント、議席数は一九六（総数五八四） に過ぎないのだ。。大統領緊急令とは、ヴァイマル憲法（第四八条） が定める大統...
ビジネスエリートになるための 教養としての投資,構造的に強靭な企業（Ｒ）」に投資しましょうと言っています。 強靭な構造とは、３つの要素に支えられています。「高い付加価値」、「高い参入障壁」、「長期潮流」です。この３つの要素を持っている会社は、構造的に極めて強靭であり、この３つの要素が弱まらない限り、その株式を保有し続けられると考えて良いでしょう。。本物の長期潮流とは何か？これは「不可逆的であると言い切れるもの」だと思っています。不可逆、つまり元には戻れないものということですね。 たとえば人口動態はその典型例です。少なくとも２１００年までの人口推計を見る限り、世界中の人口が増加していくのは間違いありません。。通常、ＰＥＲを計算するときには、...
ビジネスケース『キーエンス～驚異的な業績を生み続ける経営哲学』―一橋ビジネスレビューe新書No.7,キーエンスが経営哲学として掲げている「最小の資本と人で最大の付加価値をあげる」。具体的には、使った資本や費用に対して、主に売値で評価される顧客にとっての商品価値を最大化することだ。つまり、なるべく低コストで開発・製造して、たとえ高価格でも顧客が喜んで購入してくれる商品を創り出すことである。。低価格でなくては買ってもらえない商品では、価値の創出にはならない。。キーエンスでは、役立ち度（付加価値）に関して目標とする数字がある。それは商品企画段階での「粗利 80％」である。販売価格から製造原価を引いた粗利が 80％なければ、それは「価値の低い商品」を意味し、市場に出すことは許されない。。利益が低いか...
ビジネス・フォー・パンクス,使命に求められるのは、唯一無二であることと、魅力的であることだ。自分のチームと、潜在顧客たちに、その価値を認めさせるだけの使命が必要なのだ。使命こそ、ほかとの違いを生む。世の人々の目をどうやって自分たちに向けさせるかこそ、最初の一歩を踏み出した瞬間から抱える最大の課題であり、目を向ける理由になるのが使命なのだ。。使命に求められるのは、唯一無二であることと、魅力的であることだ。自分のチームと、潜在顧客たちに、その価値を認めさせるだけの使命が必要なのだ。使命こそ、ほかとの違いを生む。世の人々の目をどうやって自分たちに向けさせるかこそ、最初の一歩を踏み出した瞬間から抱える最大の課題であり、目を向ける...
ビジョナリー・カンパニーZERO ゼロから事業を生み出し、偉大で永続的な企業になる,「歴史とはサプライズの研究である」という歴史学者エドワード・Ｔ・オドーネルの言葉は、私たちの生きる世界の本質をよくとらえている〔。この人物を重要ポストにとどめているために、他の人材が会社を去りはじめていないか。。窓」と「鏡」をどう使うか。 重要ポストにふさわしい人は、窓と鏡を上手に使いこなす。物事がうまくいっているときには窓を指し、自分以外の要因のおかげだと考える。成功に貢献した他の人に光を当て、自分の手柄にはしない。一方、物事がうまくいかなくなったときには、挫折や失敗を状況や周囲のせいにしない。鏡を指し、「これは自分の責任だ」と言う。鏡を指し、常に「どうすればもっとうまくできただろう。どこが...
ピクサー流　創造するちから,私は、自分にはわからないことがあることを認め、そのための余白を持っているマネジャーこそ優れたマネジャーだと思って
